koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,koi_disposition
0,0,0,0,54.4183827,162.51384,0.586,4.507,874.8,2.83,443,9.11,5455,4.467,0.927,291.93422999999996,48.141651,15.347000000000001,CONFIRMED
0,1,0,0,19.89913995,175.850252,0.9690000000000001,1.7822,10829.0,14.6,638,39.3,5853,4.544,0.868,297.00482,48.134128999999994,15.436,FALSE POSITIVE
0,1,0,0,1.7369524530000002,170.30756499999998,1.276,2.4064099999999997,8079.2,33.46,1395,891.96,5805,4.564,0.7909999999999999,285.53461,48.28521,15.597000000000001,FALSE POSITIVE
0,0,0,0,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406,926.16,6031,4.438,1.046,288.75487999999996,48.2262,15.509,CONFIRMED
0,0,0,0,4.13443512,172.97937,0.762,3.1402,686.0,2.77,1160,427.65,6046,4.486000000000001,0.972,296.28612999999996,48.22467,15.714,CONFIRMED
0,0,0,0,2.56658897,179.55437,0.755,2.4290000000000003,226.5,1.59,1360,807.74,6046,4.486000000000001,0.972,296.28612999999996,48.22467,15.714,CONFIRMED
0,0,0,0,16.06864674,173.621937,0.052000000000000005,3.5347,4914.3,5.76,600,30.75,5031,4.485,0.848,286.99948,48.37579,15.841,CONFIRMED
0,0,0,0,2.470613377,122.763305,0.818,1.7431900000000002,14231.0,13.04,1339,761.46,5820,4.457,0.9640000000000001,286.80847,49.316399,11.338,CONFIRMED
0,1,0,0,2.2047354169999998,121.35854170000002,0.22399999999999998,3.88864,6674.7,16.1,2048,4148.92,6440,4.019,1.952,292.24728,47.969521,10.463,CONFIRMED
0,0,0,0,3.5224984289999997,121.1194228,0.631,3.19843,9145.7,14.59,1521,1264.67,6225,4.169,1.4509999999999998,281.28812,42.45108,13.562999999999999,CONFIRMED
0,0,0,0,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206,500.46,5833,4.407,1.022,295.64871,48.49556,12.772,CONFIRMED
0,1,0,0,11.52144606,170.839688,2.483,3.6399,17984.0,150.51,753,75.88,5795,4.553999999999999,0.848,297.07993,47.597401,15.472000000000001,FALSE POSITIVE
0,1,0,0,19.22138894,184.5521637,1.065,4.798430000000001,74284.0,49.29,698,55.97,6117,4.496,0.9470000000000001,295.81453999999997,47.69035,15.341,FALSE POSITIVE
0,1,0,0,16.46983774,180.881761,0.292,9.4378,10479.0,7.94,595,29.61,5152,4.5169999999999995,0.7859999999999999,297.15442,47.668701,15.788,FALSE POSITIVE
0,0,0,0,9.27358173,173.25815500000002,0.387,3.2875,1288.3,2.47,649,41.85,4856,4.583,0.696,288.13824,47.724449,15.302,CONFIRMED
0,0,0,0,6.02930329,171.602959,0.258,1.5821,1912.7,2.85,678,50.04,4537,4.648,0.672,283.71088,47.86327,15.784,CONFIRMED
0,1,1,1,2.6963706519999997,170.73769,0.044000000000000004,3.6129,397.9,1.58,1066,305.34,4989,4.504,0.8190000000000001,283.76547,47.804297999999996,15.269,FALSE POSITIVE
0,0,0,0,3.94105221,136.08661999999998,0.226,2.5984,363.3,1.7,1018,253.15,5185,4.44,0.91,292.37613,47.880989,15.415999999999999,CONFIRMED
0,1,0,0,386.6030528,166.342079,0.9765,6.8057,24927.0,41.5,297,1.84,5543,4.081,1.58,292.27374,37.671558000000005,12.394,FALSE POSITIVE
0,0,0,0,21.67699193,171.53593999999998,0.8959999999999999,3.4555,857.2,2.95,530,18.64,4954,4.5,0.828,290.46512,47.92918,15.377,CONFIRMED
0,0,0,0,4.99677968,171.74208000000002,0.71,2.1717,934.7,2.78,917,166.95,5339,4.552,0.847,297.80826,47.946671,15.860999999999999,CONFIRMED
0,0,0,0,4.280963604,171.89659,0.424,2.875,750.8,2.3,1012,247.87,5644,4.564,0.831,294.26581,49.314091,15.356,CONFIRMED
0,0,1,0,1.50635409,170.998064,0.86,1.5155,2211.7,4.53,1452,1054.12,5714,4.563,0.831,295.66522000000003,49.351009000000005,15.525,FALSE POSITIVE
1,0,0,0,670.645531,209.04355,0.701,53.412,18091.0,14.14,196,0.35,5520,4.466,0.983,296.69861000000003,49.316479,15.207,FALSE POSITIVE
0,1,0,0,61.256362800000005,173.83826000000002,1.248,7.632999999999999,5123.3,39.87,505,15.43,6144,4.402,1.091,283.72592000000003,49.479519,15.25,FALSE POSITIVE
0,0,0,0,41.19725502,165.00404,0.045,4.6297,2213.9,3.86,439,8.76,5031,4.485,0.848,286.99948,48.37579,15.841,CONFIRMED
0,0,0,0,6.252962248999999,171.30126,0.105,2.5819,1036.9,2.65,823,108.3,5031,4.485,0.848,286.99948,48.37579,15.841,CONFIRMED
0,0,0,0,32.62876672,194.1019,0.021,4.7971,1804.8,3.36,506,15.55,5586,4.56,0.7979999999999999,285.71854,48.505859,15.082,CONFIRMED
0,0,0,0,91.7732862,193.8378,0.606,6.473,652.0,2.12,359,3.92,5586,4.56,0.7979999999999999,285.71854,48.505859,15.082,CONFIRMED
0,0,0,0,4.959319244,172.2585292,0.831,2.22739,9802.0,12.21,1103,349.4,5712,4.359,1.082,292.16705,48.727589,15.263,CANDIDATE
0,1,1,0,2.7012878010000003,170.69579,1.016,3.3827,860.4,6.54,1222,527.81,5550,4.468,0.91,297.92365,48.777321,15.54,FALSE POSITIVE
0,0,0,0,4.49876511,171.34905,0.312,3.7362,460.0,2.1,1133,389.62,6075,4.486000000000001,0.9690000000000001,298.45685,48.791592,15.395,CONFIRMED
0,1,0,0,19.65120951,179.401981,0.723,5.2514,11766.0,12.42,730,67.03,6074,4.391,1.063,291.0939,48.933842,15.536,FALSE POSITIVE
0,0,0,0,5.412203927,133.143089,0.787,2.9472,601.6,2.94,1093,337.68,5779,4.3389999999999995,1.087,287.88732999999996,46.276241,12.790999999999999,CONFIRMED
0,0,0,0,41.43958662,208.93203,0.355,10.5989,2793.1,5.5,516,16.72,5468,4.367,1.046,295.55505,49.017342,15.4,CONFIRMED
0,0,0,0,8.35389523,171.63257,0.023,2.2514,1041.6,2.52,790,91.9,5592,4.582,0.787,285.49924,49.277351,15.317,CONFIRMED
0,0,0,0,4.1255434719999995,169.752585,0.597,3.1744,1487.3,4.43,1243,565.35,6174,4.417,1.103,291.93616000000003,49.253979,15.505999999999998,CONFIRMED
0,0,0,0,2.816504904,170.96768459999998,0.105,2.5058700000000003,16814.0,12.21,1219,521.13,5532,4.452,0.955,297.01547,49.225288,15.052,CONFIRMED
0,1,1,0,33.93373447,186.67608,0.812,14.561,8503.7,7.34,430,8.11,5040,4.628,0.705,284.17233,49.360721999999996,15.716,FALSE POSITIVE
0,0,0,0,4.431238488,171.015,0.405,3.15,1010.9,3.25,1104,351.23,5714,4.428,1.015,295.81616,51.121738,15.367,CONFIRMED
0,0,0,0,11.37936986,133.84992,0.9109999999999999,2.6255,1023.5,3.95,806,99.68,5714,4.428,1.015,295.81616,51.121738,15.367,CONFIRMED
0,0,0,0,13.57078281,136.279194,0.866,3.3539,511.7,2.64,785,89.61,5854,4.406000000000001,1.012,300.86397999999997,44.337551,12.882,CONFIRMED
0,0,0,0,7.12594387,139.00492,0.898,3.0014,192.4,1.79,997,233.31,5779,4.3389999999999995,1.087,287.88732999999996,46.276241,12.790999999999999,CONFIRMED
0,1,0,0,7.442652004,169.97177969999998,0.13699999999999998,2.3078,24446.0,15.03,967,206.78,6108,4.468999999999999,0.956,288.98682,49.733742,15.27,FALSE POSITIVE
0,0,0,0,16.38489988,172.72782,0.001,3.0249,1127.1,2.0,433,8.35,4126,4.6610000000000005,0.615,286.73804,49.97575,15.095,CONFIRMED
0,0,0,0,36.4454001,151.60125,0.027999999999999997,4.007,1122.3,1.99,332,2.88,4126,4.6610000000000005,0.615,286.73804,49.97575,15.095,CONFIRMED
0,0,0,0,3.7287321469999997,171.79325500000002,0.5579999999999999,2.6830000000000003,5226.5,6.02,1023,258.34,5497,4.577,0.809,290.78574,50.054119,15.523,CONFIRMED
0,0,0,0,40.4195037,173.56468999999998,0.9109999999999999,3.362,6256.0,7.51,467,11.29,5446,4.507,0.7809999999999999,294.31686,50.080231,15.487,CANDIDATE
0,0,0,0,2.243380573,170.679233,0.915,1.1196,821.7,1.99,822,107.6,4149,4.698,0.564,285.17621,50.149817999999996,15.135,CONFIRMED
0,0,0,0,2.337437946,171.76198200000002,0.28,1.9982,971.2,2.34,1070,311.16,5005,4.595,0.765,293.83331,50.23035,15.334000000000001,CONFIRMED
0,0,0,0,7.240661200000001,137.75545,1.198,0.5579999999999999,556.4,19.45,734,68.63,5005,4.595,0.765,293.83331,50.23035,15.334000000000001,CANDIDATE
0,0,0,0,3.43591631,132.6624,0.624,3.133,23.2,0.55,1272,617.61,5779,4.3389999999999995,1.087,287.88732999999996,46.276241,12.790999999999999,CANDIDATE
0,0,0,0,11.59822233,180.395376,0.679,2.5237,2804.5,2.65,396,5.82,3688,4.79,0.473,296.22195,50.28722,15.937000000000001,CONFIRMED
0,0,0,0,7.275040843999999,169.994217,0.547,7.5377,3001.0,4.86,833,113.64,5485,4.556,0.867,295.45529,50.49456,15.08,CONFIRMED
0,0,0,0,19.27153892,186.77093,0.031,2.7594,1219.8,1.93,393,5.66,4077,4.702,0.56,293.97336,50.531909999999996,15.385,CONFIRMED
0,0,0,0,10.06524317,136.28906,0.628,1.369,1053.3,1.91,488,13.43,4077,4.702,0.56,293.97336,50.531909999999996,15.385,CONFIRMED
0,0,0,0,12.3935651,178.74725,0.883,3.8896,916.6,2.66,677,49.68,5557,4.603,0.75,296.02133,50.56778,15.505,CONFIRMED
0,0,0,0,43.84439721,151.93538,0.852,6.8020000000000005,615.2,2.87,531,18.77,5854,4.406000000000001,1.012,300.86397999999997,44.337551,12.882,CONFIRMED
0,1,1,0,3.341913228,171.63943,1.213,3.813,725.3,21.55,1032,268.67,5295,4.551,0.8109999999999999,292.31595,38.27029,15.629000000000001,FALSE POSITIVE
0,0,0,0,1.626630225,169.820171,1.26,2.1145,1620.6,32.43,1547,1355.88,5735,4.41,0.973,294.36818999999997,38.31028,15.279000000000002,CANDIDATE
0,0,0,0,60.41893689999999,181.16367,0.094,5.039,931.3,2.36,390,5.49,5354,4.587,0.7879999999999999,296.36652000000004,51.319519,15.339,CONFIRMED
0,0,0,0,12.61190435,180.89228400000002,0.55,5.1497,6105.6,7.4,753,76.15,5795,4.508,0.919,289.11221,51.737381,15.14,CONFIRMED
0,1,0,0,1.433769925,170.403536,1.268,1.8868,1976.3,46.58,1920,3209.29,6017,4.22,1.339,290.84369,37.728828,15.122,FALSE POSITIVE
0,0,0,0,2.5391831469999997,169.67494,0.23800000000000002,2.4282,382.1,2.06,1332,743.09,5519,4.35,1.062,291.43997,37.905659,15.026,CONFIRMED
0,0,0,0,6.770300385,170.57662,0.838,2.0844,1304.0,2.77,812,102.87,5653,4.656000000000001,0.679,290.87051,38.273628,15.591,CONFIRMED
0,1,1,1,0.44429196600000004,169.865406,1.258,2.0792,10967.0,27.51,1836,2706.26,5255,4.678,0.636,290.99689,38.28492,15.748,FALSE POSITIVE
0,0,0,0,10.181583999999999,177.141891,0.92,3.5089,5741.1,7.73,812,102.91,5988,4.541,0.836,291.28195,38.241669,15.657,CANDIDATE
0,0,0,0,20.06036336,147.46554,0.556,3.3203,1494.7,1.96,361,4.0,3950,4.754,0.493,286.07912999999996,39.27832,15.954,CONFIRMED
0,0,0,0,46.1842039,165.23729,0.013000000000000001,4.758,1394.7,1.83,273,1.32,3950,4.754,0.493,286.07912999999996,39.27832,15.954,CONFIRMED
